ID,Dominant,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,PC
10,1,0.0,35.59,111.6759218,9957,4331,5062,8047,7954,5.659209837,0
10,0,0.0,29.715,161.0184179,7985,6858,6045,4363,5043,4.857464898,0
1,1,0.0,39.665,167.3480082,11905,6366,8245,7358,8737,5.116980671,0
1,0,0.0,41.345,186.2507339,15984,10015,8734,5812,5847,5.142271696,0
11,1,0.0,22.39,80.42163916,4487,4420,3374,4691,6621,4.866940547,0
11,0,0.0,23.21,147.8975907,4454,4312,5426,4622,4657,4.802518744,0
12,1,0.0,22.295,111.9560494,14276,5774,4639,2454,2066,6.19880387,0
12,0,0.0,22.52,225.2091381,4218,4061,5642,3594,4314,4.92617393,0
13,1,0.0,44.235,140.9210432,11655,8658,6673,10450,9924,4.755937578,0
13,0,0.0,51.81,222.630398,10624,16375,7232,7158,6829,6.265443601,0
14,1,0.0,36.495,135.1277509,9009,6629,4389,7548,9827,4.790222319,0
14,0,0.0,37.945,135.9363477,10810,5656,6826,8050,7532,5.16363679,0
15,1,0.0,41.465,94.02193375,13928,7088,7385,9728,7530,4.289109399,0
15,0,0.0,49.905,148.4987131,11516,8380,8681,12822,11913,4.29405338,0
16,1,0.0,34.765,102.1157061,12281,6063,4289,9455,7601,4.168171886,0
16,0,0.0,38.29,117.8596996,9760,8256,5880,9186,6591,4.18367611,0
17,1,0.0,28.655,119.3616345,7010,8489,2939,6058,6983,1.237830923,0
17,0,0.0,36.295,114.4791461,9298,7934,6699,9620,5310,1.17897176,0
18,1,0.0,27.82,173.2394987,5882,5445,5339,5602,6268,4.110510096,0
18,0,0.0,25.07,270.0811812,4113,3573,8855,4618,4291,4.197038228,0
19,1,0.0,44.175,84.56997855,6653,10197,7130,13627,9880,4.256220813,0
19,0,0.0,44.87,133.3681667,8040,10679,9505,9977,8923,4.157470222,0
2,1,0.0,19.73,146.0954375,7824,4966,3455,2359,2455,4.900451215,0
2,0,0.0,27.92,238.5015346,7297,5280,5049,5049,5936,4.795244377,0
23,1,0.0,54.74,103.1907769,14970,12989,8461,14931,12315,4.833188075,0
23,0,0.0,51.405,140.5139699,14223,9440,11347,11897,8133,4.163762639,0
24,1,0.0,25.835,292.1720137,6084,3454,5155,7087,5224,4.298857366,0
24,0,0.0,26.005,168.5247531,5361,5913,4807,6100,4616,4.190832183,0
25,1,0.0,24.23,135.1129415,5446,6439,6077,5099,3846,4.207586041,0
25,0,0.0,15.93,164.6382278,2746,2432,2606,3813,4968,4.14381961,0
26,1,0.0,27.19,139.0662879,4058,5226,2469,9744,4032,4.677600074,0
26,0,0.0,40.345,111.5804069,9552,8752,7169,8053,7938,4.161698257,0
27,1,0.0,26.23,157.3371806,7795,4455,2753,6946,6777,4.177620499,0
27,0,0.0,25.725,113.4539822,6389,4718,4438,6395,4949,4.168104102,0
28,1,0.0,40.85,116.6371228,5627,8283,11968,14256,7948,4.653586843,0
28,0,0.0,34.56,85.66003008,6516,5774,5368,9696,10299,4.136621536,0
29,1,0.0,39.05,99.51752481,9522,9989,6331,8505,7247,4.282832199,0
29,0,0.0,39.75,125.4993799,12351,6006,6266,9580,8045,4.213069866,0
3,1,0.0,51.56,153.6315915,11076,8674,13331,7500,15062,5.765537104,0
3,0,0.0,46.455,139.4176726,13152,12374,6644,7874,7831,4.836958592,0
4,1,0.0,16.56,247.551619,3593,2312,2847,7657,3873,5.017953005,0
4,0,0.0,14.85,258.7754733,4158,3341,1858,2940,2610,4.985115786,0
5,1,0.0,36.29,132.5570605,6875,6219,8302,7126,8713,4.15547502,0
5,0,0.0,37.565,129.5659657,10127,7664,7245,6071,7248,4.0879024,0
6,1,0.0,38.27,159.3139218,9540,9456,10528,9002,3875,5.11781458,0
6,0,0.0,25.315,143.946115,10167,4784,4517,4578,5125,4.73121351,0
7,1,0.0,39.845,124.3615555,10248,6033,9269,7419,8485,4.911906964,0
7,0,0.0,42.975,127.4192962,12465,8644,9216,6362,7344,4.712379724,0
8,1,0.0,17.44,152.1362019,4127,3856,4220,3640,2325,4.785551448,0
8,0,0.0,18.11,155.4401417,5850,3030,3857,3141,2982,4.791560812,0
9,1,0.0,36.005,111.9760064,9972,6311,8126,5812,8220,4.731289061,0
9,0,0.0,41.555,123.276721,12314,8769,9592,7436,6918,4.807308929,0
10,1,20.0,34.98,177.7989217,8275,6848,8710,6321,6136,5.193450542,1
10,0,20.0,27.89,216.6170454,5752,5549,5080,5765,6339,4.154490969,1
1,1,5.5,21.31,130.4921864,6768,2635,3049,3929,6323,4.832446129,1
1,0,5.5,18.995,239.8412975,6545,2988,3655,2327,4470,4.748709785,1
11,1,10.0,21.665,273.5908113,6781,4862,3748,3427,5449,5.132860035,1
11,0,10.0,18.895,242.5559113,7011,6750,2939,3235,1656,5.554852418,1
12,1,4.0,54.35,109.2980957,15402,16102,8388,7954,8753,4.788701493,1
12,0,4.0,48.04,135.8529632,9039,14204,6807,5978,8843,5.611958905,1
13,1,2.5,71.06,229.1097543,12062,10686,14141,11813,26970,5.130149722,1
13,0,2.5,66.895,187.8879075,13549,16764,11504,14138,13890,5.503643322,1
14,1,5.0,45.87,162.8789274,18750,10033,8874,6951,7114,4.926636647,1
14,0,5.0,55.415,118.3242773,12328,21437,7280,11189,10027,5.406094441,1
15,1,15.0,18.25,154.8536641,5828,2751,2623,3783,3922,4.811500645,1
15,0,15.0,19.62,204.1894004,6109,3420,3629,3546,3248,4.804194396,1
16,1,5.5,33.78,156.0801111,9814,9557,12688,5266,5659,6.051470161,1
16,0,5.5,32.055,240.1253426,9483,5880,5965,8751,5999,5.449360887,1
17,1,2.0,46.55,168.0999174,13080,17358,4956,1545,16736,5.490965659,1
17,0,2.0,48.27,163.2093244,17722,11937,9217,6656,6438,4.789644288,1
18,1,11.5,44.31,124.0774254,10487,9750,7188,9623,8016,4.784378596,1
