ID,Dominant,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,PC
10,1,0.0,27.735,106.8254503,7185,5986,4701,5561,5879,4.758624196,0
10,0,0.0,26.65,116.3105371,6564,6000,4420,5327,4752,4.837145472,0
1,1,0.0,35.97,163.6967658,12252,5391,6327,4830,10154,5.101397398,0
1,0,0.0,37.23,168.1937083,10251,9734,8706,4237,5978,5.037942685,0
11,1,0.0,18.465,157.9784543,5152,4091,3002,3438,4344,4.768268025,0
11,0,0.0,18.615,90.48540831,4000,2376,4734,3924,3856,4.92858699,0
12,1,0.0,17.115,111.9211586,4125,4125,2280,3279,3096,4.96946759,0
12,0,0.0,23.57,222.583199,6536,5095,7594,3279,2361,5.778517357,0
13,1,0.0,42.575,203.3943638,11936,6966,6643,8958,9919,5.105507835,0
13,0,0.0,47.78,146.052245,3367,12048,14203,8704,7347,6.020403513,0
14,1,0.0,28.795,118.8612966,7737,5279,3330,5327,7985,4.712832428,0
14,0,0.0,41.115,153.3678965,12735,7982,6906,8344,8033,4.734010669,0
15,1,0.0,41.885,79.10644492,12201,6525,7622,10777,8514,4.147268478,0
15,0,0.0,51.11,141.6645293,16108,8924,7116,12933,10581,4.259490236,0
16,1,0.0,38.985,84.60819943,8712,6692,5693,10867,8226,4.148982145,0
16,0,0.0,37.11,129.7379609,7300,9107,7904,8217,6567,4.132314846,0
17,1,0.0,25.215,108.8849017,6071,7803,6935,2121,6735,1.097096152,0
17,0,0.0,32.11,128.5073444,6098,6831,6802,8016,7162,1.081330279,0
18,1,0.0,23.745,152.0594877,5848,3747,4009,4851,6456,4.137838738,0
18,0,0.0,24.69,141.861109,5172,5902,5196,4178,4730,4.111085691,0
19,1,0.0,35.27,108.8956087,6178,7719,8769,6316,8465,4.227862947,0
19,0,0.0,42.925,93.66428931,9695,9555,7311,8805,8544,4.185415778,0
2,0,0.0,29.24,173.445548,6609,5909,5952,5687,5391,4.768956508,0
23,1,0.0,54.285,110.7350983,13909,9021,9065,17119,10218,4.344217471,0
